Name,Number,Date,Lawrence M. Farnese Jr.,Christine M. Tartaglione,Shirley M. Kitchen,Art Haywood,John P. Sabatina Jr.,Michael J. Stack III,Robert M. Tomlinson,Vincent J. Hughes,Anthony H. Williams,Dominic F. Pileggi,Charles T. McIlhinney Jr.,Judith L. Schwank,Stewart J. Greenleaf,Lloyd K. Smucker,John T. Yudichak,Rob Teplitz,Patrick M. Browne,Daylin Leach,Lisa M. Boscola,Andrew E. Dinniman,Lisa Baker,Scott E. Hutchinson,John P. Blake,Gene Yaw,Bob Mensch,Joseph B. Scarnati III,Thomas J. McGarrigle,John R. Gordner,Scott R. Wagner,David G. Argall,John H. Eichelberger Jr.,Patricia H. Vance,Patrick J. Stefano,Richard L. Alloway II,Jake Corman,John N. Wozniak,Ryan P. Aument,Guy Reschenthaler,Matthew Smith,Randy Vulakovich,Kim L. Ward,Mario M. Scavello,Donald C. White,Wayne D. Fontana,Jay Costa,John C. Rafferty Jr.,James R. Brewster,Camera Bartolotta,Elder A. Vogel,Michael J Folmer,Sean D. Wiley,Michele Brooks
"SB 699 PN 683, FINAL PASSAGE",67,2015-05-06,Y,Y,Y,Y,,,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECUTIVE NOMINATIONS (ATTACHED),78,2015-05-11,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 264 PN 144, FINAL PASSAGE",77,2015-05-11,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 3 PN 840, A1236, FOLMER AMENDMENT NO. A-01236",76,2015-05-11,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,X,N,Y,Y,X,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
"SB 3 PN 840, A1235, FOLMER AMENDMENT NO. A-01235",75,2015-05-11,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,X,N,Y,Y,X,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
"SB 3 PN 840, A1594, BARTOLOTTA AMENDMENT NO. A-1594",74,2015-05-11,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,X,N,Y,Y,X,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
"SB 3 PN 840, A1234, BARTOLOTTA AMENDMENT NO. A-01234",73,2015-05-11,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,X,N,Y,Y,X,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
"SB 3 PN 840, A1532, BARTOLOTTA AMENDMENT NO. A-1532",72,2015-05-11,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,X,N,Y,Y,X,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
RECESS RESOLUTION,71,2015-05-11,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 285 PN 163, FINAL PASSAGE",82,2015-05-12,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 284 PN 783, FINAL PASSAGE",81,2015-05-12,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 3 PN 889, FINAL PASSAGE",80,2015-05-12,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,X,N,Y,Y,X,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
"MOTION TO APPROVE THE JOURNALS OF MARCH 3, 2015",79,2015-05-12,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 266 PN 839, CONCUR IN HOUSE AMENDMENTS",88,2015-05-13,Y,Y,Y,Y,,,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECUTIVE NOMINATIONS (ATTACHED),87,2015-05-13,Y,Y,Y,Y,,,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 678 PN 785, FINAL PASSAGE",86,2015-05-13,Y,Y,Y,Y,,,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 514 PN 509, FINAL PASSAGE",85,2015-05-13,Y,Y,Y,Y,,,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y
"SB 1 PN 886, FINAL PASSAGE",84,2015-05-13,N,N,N,N,,,Y,N,X,Y,Y,N,N,Y,N,N,X,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y
"MOTION TO APPROVE THE JOURNALS OF MARCH 4, 2015",83,2015-05-13,Y,Y,Y,Y,,,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 695 PN 682, FINAL PASSAGE",90,2015-06-01,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
RECESS RESOLUTION,89,2015-06-01,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECNOMS  SECRETARY OF THE COMMONWEALTH PEDRO A. CORTES,95,2015-06-02,Y,Y,Y,Y,,,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,Y,Y,N,,Y,N,N,Y,N,Y,Y,Y,Y,N,N,N,Y,N
EXECUTIVE NOMINATIONS (ATTACHED),94,2015-06-02,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 490 PN 853, FINAL PASSAGE",93,2015-06-02,N,N,N,N,,,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y
"SB 305 PN 751, FINAL PASSAGE",92,2015-06-02,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"MOTION TO APPROVE THE JOURNALS OF APRIL 13, 2015",91,2015-06-02,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECNOMS  SECRETARY OF ENVIRONMENTAL PROTECTION JOHN H. QUIGLEY,102,2015-06-03,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N
EXECUTIVE NOMINATIONS (ATTACHED),101,2015-06-03,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 373 PN 288, FINAL PASSAGE",100,2015-06-03,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
"SB 594 PN 587, FINAL PASSAGE",99,2015-06-03,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 294 PN 851, FINAL PASSAGE",98,2015-06-03,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 78 PN 54, FINAL PASSAGE",97,2015-06-03,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"MOTION TO APPROVE THE JOURNALS OF APRIL 14, 2015",96,2015-06-03,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECNOMS  EXECUTIVE NOMINATIONS  STATE POLICE COMMISSIONER MARCUS BROWN,105,2015-06-08,Y,Y,Y,Y,,,X,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,,Y,N,N,N,N,Y,Y,N,Y,N,N,N,Y,N
EXECNOMS  EXECUTIVE NOMINATIONS  SECRETARY OF CORRECTIONS JOHN WETZEL,104,2015-06-08,Y,Y,Y,Y,,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
RECESS RESOLUTION,103,2015-06-08,Y,Y,Y,Y,,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECUTIVE NOMINATIONS (ATTACHED),115,2015-06-09,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
SSHER0001  MOTION TO ADOPT  STATE SYSTEM OF HIGHER EDUCATION PROPERTY REQUEST NO. 1 OF 2015 RESOLUTION A,114,2015-06-09,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 538 PN 989, FINAL PASSAGE",113,2015-06-09,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 486 PN 987, FINAL PASSAGE",112,2015-06-09,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 438 PN 389, FINAL PASSAGE",111,2015-06-09,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 396 PN 311, FINAL PASSAGE",110,2015-06-09,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 341 PN 363, FINAL PASSAGE",109,2015-06-09,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 329 PN 220, FINAL PASSAGE",108,2015-06-09,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 293 PN 988, CONCUR IN HOUSE AMENDMENTS",107,2015-06-09,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"MOTION TO APPROVE THE JOURNALS OF APRIL 15, 2015",106,2015-06-09,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 620 PN 617, FINAL PASSAGE",120,2015-06-10,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 513 PN 463, FINAL PASSAGE",119,2015-06-10,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 479 PN 437, FINAL PASSAGE",118,2015-06-10,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 188 PN 1757, FINAL PASSAGE",117,2015-06-10,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
SR 145 PN 1019,116,2015-06-10,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 911 PN 1769, A2137, MCGARRIGLE AMENDMENT NO. A-2137",124,2015-06-15,N,N,N,N,N,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,,X,N,N,N,N,N,N,N,N,N,N,N,N,N
"SB 880 PN 1024, FINAL PASSAGE",123,2015-06-15,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 863 PN 1047, FINAL PASSAGE",122,2015-06-15,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
RECESS RESOLUTION,121,2015-06-15,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 911 PN 1800, FINAL PASSAGE",129,2015-06-16,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 688 PN 674, FINAL PASSAGE",128,2015-06-16,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 687 PN 673, FINAL PASSAGE",127,2015-06-16,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 182 PN 1071, FINAL PASSAGE",126,2015-06-16,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"MOTION TO APPROVE THE JOURNALS OF APRIL 20, 2015",125,2015-06-16,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 861 PN 978, FINAL PASSAGE",132,2015-06-17,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y
"SB 590 PN 566, FINAL PASSAGE",131,2015-06-17,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y
"MOTION TO APPROVE THE JOURNALS OF APRIL 21, 2015",130,2015-06-17,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y
"SB 655 PN 650, FINAL PASSAGE",137,2015-06-22,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 751 PN 771, A2216, GREENLEAF AMENDMENT NO. A-2216",136,2015-06-22,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 356 PN 887, FINAL PASSAGE",135,2015-06-22,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 352 PN 1059, FINAL PASSAGE",134,2015-06-22,N,N,N,N,N,,N,N,N,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,,,Y,N,Y,Y,N,N,N,N,N,Y,Y,N,N
SR 149 PN 1049,133,2015-06-22,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 775 PN 834, FINAL PASSAGE",141,2015-06-23,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 398 PN 312, FINAL PASSAGE",140,2015-06-23,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 299 PN 1045, FINAL PASSAGE",139,2015-06-23,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"MOTION TO APPROVE THE JOURNALS OF APRIL 22, 2015",138,2015-06-23,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 397 PN 1058, CONCUR IN HOUSE AMENDMENTS",150,2015-06-24,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
